computed_at,race_id,as_of_date,days_out,margin,dem_pct,rep_pct,n_polls,effective_n,n_partisan,partisan_lean,excluded_partisan,window_days,half_life_days
2026-08-31T18:04:02,2026-generic-ballot,2026-08-31,64,5.84,40.87,35.02,5,4.91,0,,False,45,14
2026-09-01T15:30:49,2026-senate-GA,2026-09-01,63,7.5,50.1,42.6,1,1.0,0,,False,45,14
2026-09-01T15:30:49,2026-senate-MI,2026-09-01,63,1.9,46.07,44.16,10,7.91,3,3.42,False,45,14
2026-09-01T15:30:49,2026-senate-NC,2026-09-01,63,8.73,50.36,41.64,8,7.04,1,-2.93,False,45,14
2026-09-01T15:30:49,2026-senate-ME,2026-09-01,63,2.78,48.49,45.71,3,2.6,1,1.5,False,45,14
2026-09-01T15:30:49,2026-senate-OH,2026-09-01,63,5.97,50.46,44.49,2,2.0,0,,False,45,14
2026-09-01T15:30:50,2026-senate-TX,2026-09-01,63,3.18,46.68,43.5,8,6.05,1,0.29,False,45,14
2026-09-01T15:30:50,2026-senate-IA,2026-09-01,63,-4.09,42.13,46.23,2,1.77,0,,False,45,14
2026-09-01T15:30:50,2026-senate-NH,2026-09-01,63,1.77,45.09,43.32,2,1.95,0,,False,45,14
2026-09-01T15:30:50,2026-senate-MN,2026-09-01,63,5.0,46.0,41.0,1,1.0,0,,False,45,14
2026-09-01T15:30:50,2026-senate-AK,2026-09-01,63,1.6,50.8,49.2,1,1.0,0,,False,45,14
2026-09-01T15:30:50,2026-gov-AZ,2026-09-01,63,6.68,45.79,39.11,8,6.77,1,-2.57,False,45,14
2026-09-01T15:30:50,2026-gov-PA,2026-09-01,63,21.33,53.55,32.22,6,4.95,1,-15.8,False,45,14
2026-09-01T15:30:50,2026-gov-MI,2026-09-01,63,4.74,47.32,42.59,6,4.34,0,,False,45,14
2026-09-01T15:30:51,2026-gov-OH,2026-09-01,63,-0.48,47.49,47.97,2,2.0,0,,False,45,14
2026-09-01T15:30:51,2026-gov-TX,2026-09-01,63,-4.89,43.32,48.22,8,5.99,1,1.29,False,45,14
2026-09-01T15:30:51,2026-gov-FL,2026-09-01,63,-7.0,38.0,45.0,1,1.0,0,,False,45,14
2026-09-01T15:30:51,2026-gov-NY,2026-09-01,63,10.0,49.0,39.0,1,1.0,0,,False,45,14
2026-09-01T15:30:52,2026-gov-CA,2026-09-01,63,18.0,55.0,37.0,1,1.0,0,,False,45,14
2026-09-01T15:30:52,2026-gov-NM,2026-09-01,63,17.0,41.0,24.0,1,1.0,0,,False,45,14
2026-09-01T15:30:52,2026-gov-GA,2026-09-01,63,0.4,46.26,45.86,2,1.76,0,,False,45,14
2026-09-01T15:30:52,2026-gov-WI,2026-09-01,63,2.85,45.96,43.1,7,5.9,3,0.0,False,45,14
2026-09-01T15:30:52,2026-gov-ME,2026-09-01,63,11.83,49.0,37.17,2,1.67,0,,False,45,14
2026-09-01T15:30:52,2026-gov-NH,2026-09-01,63,-10.42,38.58,49.0,2,1.95,0,,False,45,14
2026-09-01T15:30:52,2026-gov-MN,2026-09-01,63,16.0,52.0,36.0,1,1.0,0,,False,45,14
2026-09-01T15:30:53,2026-generic-ballot,2026-09-01,63,5.84,40.87,35.02,5,4.91,0,,False,45,14
2026-09-02T15:12:06,2026-senate-GA,2026-09-02,62,7.5,50.1,42.6,1,1.0,0,,False,45,14
2026-09-02T15:12:07,2026-senate-MI,2026-09-02,62,2.55,46.79,44.24,12,9.76,3,2.26,False,45,14
2026-09-02T15:12:07,2026-senate-NC,2026-09-02,62,8.73,50.36,41.64,8,7.04,1,-2.93,False,45,14
2026-09-02T15:12:07,2026-senate-ME,2026-09-02,62,2.78,48.49,45.71,3,2.6,1,1.5,False,45,14
2026-09-02T15:12:07,2026-senate-OH,2026-09-02,62,5.97,50.46,44.49,2,2.0,0,,False,45,14
2026-09-02T15:12:07,2026-senate-TX,2026-09-02,62,3.18,46.68,43.5,8,6.05,1,0.29,False,45,14
2026-09-02T15:12:07,2026-senate-IA,2026-09-02,62,-4.09,42.13,46.23,2,1.77,0,,False,45,14
2026-09-02T15:12:07,2026-senate-NH,2026-09-02,62,1.77,45.09,43.32,2,1.95,0,,False,45,14
2026-09-02T15:12:07,2026-senate-MN,2026-09-02,62,5.0,46.0,41.0,1,1.0,0,,False,45,14
2026-09-02T15:12:07,2026-senate-AK,2026-09-02,62,1.6,50.8,49.2,1,1.0,0,,False,45,14
2026-09-02T15:12:08,2026-gov-AZ,2026-09-02,62,6.68,45.79,39.11,8,6.77,1,-2.57,False,45,14
2026-09-02T15:12:08,2026-gov-PA,2026-09-02,62,21.33,53.55,32.22,6,4.95,1,-15.8,False,45,14
2026-09-02T15:12:08,2026-gov-MI,2026-09-02,62,6.51,48.48,41.97,8,6.25,0,,False,45,14
2026-09-02T15:12:08,2026-gov-OH,2026-09-02,62,-0.48,47.49,47.97,2,2.0,0,,False,45,14
2026-09-02T15:12:08,2026-gov-TX,2026-09-02,62,-4.89,43.32,48.22,8,5.99,1,1.29,False,45,14
2026-09-02T15:12:08,2026-gov-FL,2026-09-02,62,-7.0,38.0,45.0,1,1.0,0,,False,45,14
2026-09-02T15:12:08,2026-gov-NY,2026-09-02,62,10.0,49.0,39.0,1,1.0,0,,False,45,14
2026-09-02T15:12:08,2026-gov-CA,2026-09-02,62,18.0,55.0,37.0,1,1.0,0,,False,45,14
2026-09-02T15:12:08,2026-gov-NM,2026-09-02,62,17.0,41.0,24.0,1,1.0,0,,False,45,14
2026-09-02T15:12:08,2026-gov-GA,2026-09-02,62,0.4,46.26,45.86,2,1.76,0,,False,45,14
2026-09-02T15:12:08,2026-gov-WI,2026-09-02,62,2.85,45.96,43.1,7,5.9,3,0.0,False,45,14
2026-09-02T15:12:09,2026-gov-ME,2026-09-02,62,11.83,49.0,37.17,2,1.67,0,,False,45,14
2026-09-02T15:12:09,2026-gov-NH,2026-09-02,62,-10.42,38.58,49.0,2,1.95,0,,False,45,14
2026-09-02T15:12:09,2026-gov-MN,2026-09-02,62,16.0,52.0,36.0,1,1.0,0,,False,45,14
2026-09-02T15:12:09,2026-generic-ballot,2026-09-02,62,5.84,40.87,35.02,5,4.91,0,,False,45,14
2026-09-03T15:05:35,2026-senate-GA,2026-09-03,61,7.5,50.1,42.6,1,1.0,0,,False,45,14
2026-09-03T15:05:36,2026-senate-MI,2026-09-03,61,2.55,46.79,44.24,12,9.76,3,2.26,False,45,14
2026-09-03T15:05:36,2026-senate-NC,2026-09-03,61,8.73,50.36,41.64,8,7.04,1,-2.93,False,45,14
2026-09-03T15:05:37,2026-senate-ME,2026-09-03,61,2.78,48.49,45.71,3,2.6,1,1.5,False,45,14
2026-09-03T15:05:37,2026-senate-OH,2026-09-03,61,5.97,50.46,44.49,2,2.0,0,,False,45,14
2026-09-03T15:05:37,2026-senate-TX,2026-09-03,61,3.18,46.68,43.5,8,6.05,1,0.29,False,45,14
2026-09-03T15:05:38,2026-senate-IA,2026-09-03,61,-4.09,42.13,46.23,2,1.77,0,,False,45,14
2026-09-03T15:05:38,2026-senate-NH,2026-09-03,61,1.77,45.09,43.32,2,1.95,0,,False,45,14
2026-09-03T15:05:38,2026-senate-MN,2026-09-03,61,5.0,46.0,41.0,1,1.0,0,,False,45,14
2026-09-03T15:05:38,2026-senate-AK,2026-09-03,61,1.6,50.8,49.2,1,1.0,0,,False,45,14
